model,blimp_phenomenon,accuracy,n_correct,n_total,checkpoint
RA-ALTA/tr-en-phase1-final,coordinate_structure_constraint_object_extraction,0.643,643,1000,main
RA-ALTA/pl-en-intermediate,coordinate_structure_constraint_complex_left_branch,0.351,351,1000,main
RA-ALTA/pl-en-fluent,coordinate_structure_constraint_object_extraction,0.793,793,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_2,0.947,947,1000,main
RA-ALTA/tr-en-beginner,complex_NP_island,0.524,524,1000,main
RA-ALTA/tr-en-advanced,coordinate_structure_constraint_object_extraction,0.824,824,1000,main
RA-ALTA/tr-en-intermediate,coordinate_structure_constraint_object_extraction,0.836,836,1000,main
RA-ALTA/pl-en-advanced,coordinate_structure_constraint_object_extraction,0.835,835,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_1,0.577,577,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_1,0.944,944,1000,main
RA-ALTA/pl-en-intermediate,coordinate_structure_constraint_object_extraction,0.809,809,1000,main
RA-ALTA/tr-en-beginner,coordinate_structure_constraint_complex_left_branch,0.345,345,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_irregular_1,0.812,812,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_1,0.943,943,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_1,0.951,951,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_1,0.944,944,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_2,0.543,543,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_2,0.919,919,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_1,0.943,943,1000,main
RA-ALTA/tr-en-beginner,coordinate_structure_constraint_object_extraction,0.824,824,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_irregular_2,0.919,919,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_2,0.922,922,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_2,0.944,944,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_2,0.923,923,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_irregular_1,0.525,525,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_irregular_1,0.868,868,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_2,0.938,938,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_1,0.938,938,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_with_adj_2,0.89,890,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_irregular_1,0.869,869,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_irregular_1,0.835,835,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_irregular_1,0.861,861,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_irregular_2,0.547,547,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_irregular_2,0.901,901,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_2,0.927,927,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.761,761,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_irregular_1,0.854,854,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_irregular_2,0.876,876,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_irregular_2,0.886,886,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_irregular_2,0.903,903,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_with_adj_2,0.493,493,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_with_adj_2,0.878,878,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_irregular_1,0.812,812,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_with_adj_2,0.852,852,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.857,857,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_irregular_2,0.912,912,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_with_adj_2,0.874,874,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_with_adj_2,0.888,888,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_with_adj_irregular_1,0.495,495,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.799,799,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_irregular_2,0.828,828,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_with_adj_irregular_1,0.824,824,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_with_adjective_1,0.861,861,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_with_adj_2,0.896,896,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_with_adj_irregular_1,0.829,829,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_with_adj_irregular_1,0.795,795,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_with_adj_irregular_2,0.51,510,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_with_adj_irregular_2,0.858,858,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_with_adj_2,0.866,866,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_with_adj_irregular_2,0.83,830,1000,main
RA-ALTA/pl-en-beginner,distractor_agreement_relational_noun,0.564,564,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_with_adj_irregular_2,0.832,832,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_with_adj_irregular_1,0.803,803,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_with_adj_irregular_2,0.86,860,1000,main
RA-ALTA/tr-en-phase1-final,determiner_noun_agreement_with_adjective_1,0.517,517,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.748,748,1000,main
RA-ALTA/pl-en-fluent,determiner_noun_agreement_with_adjective_1,0.881,881,1000,main
RA-ALTA/tr-en-advanced,determiner_noun_agreement_with_adjective_1,0.886,886,1000,main
RA-ALTA/pl-en-beginner,distractor_agreement_relative_clause,0.427,427,1000,main
RA-ALTA/tr-en-intermediate,determiner_noun_agreement_with_adjective_1,0.888,888,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_with_adj_irregular_2,0.867,867,1000,main
RA-ALTA/pl-en-advanced,determiner_noun_agreement_with_adjective_1,0.884,884,1000,main
RA-ALTA/tr-en-phase1-final,distractor_agreement_relational_noun,0.427,427,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.799,799,1000,main
RA-ALTA/pl-en-fluent,distractor_agreement_relational_noun,0.665,665,1000,main
RA-ALTA/tr-en-advanced,distractor_agreement_relational_noun,0.572,572,1000,main
RA-ALTA/tr-en-intermediate,distractor_agreement_relational_noun,0.496,496,1000,main
RA-ALTA/pl-en-beginner,drop_argument,0.734,734,1000,main
RA-ALTA/pl-en-intermediate,determiner_noun_agreement_with_adjective_1,0.881,881,1000,main
RA-ALTA/pl-en-advanced,distractor_agreement_relational_noun,0.723,723,1000,main
RA-ALTA/tr-en-beginner,determiner_noun_agreement_with_adjective_1,0.882,882,1000,main
RA-ALTA/tr-en-phase1-final,distractor_agreement_relative_clause,0.45,450,1000,main
RA-ALTA/tr-en-advanced,distractor_agreement_relative_clause,0.365,365,1000,main
RA-ALTA/pl-en-fluent,distractor_agreement_relative_clause,0.516,516,1000,main
RA-ALTA/tr-en-intermediate,distractor_agreement_relative_clause,0.33,330,1000,main
RA-ALTA/pl-en-beginner,ellipsis_n_bar_1,0.682,682,1000,main
RA-ALTA/pl-en-intermediate,distractor_agreement_relational_noun,0.706,706,1000,main
RA-ALTA/pl-en-advanced,distractor_agreement_relative_clause,0.514,514,1000,main
RA-ALTA/tr-en-beginner,distractor_agreement_relational_noun,0.503,503,1000,main
RA-ALTA/tr-en-phase1-final,drop_argument,0.761,761,1000,main
RA-ALTA/tr-en-advanced,drop_argument,0.724,724,1000,main
RA-ALTA/pl-en-fluent,drop_argument,0.727,727,1000,main
RA-ALTA/tr-en-intermediate,drop_argument,0.704,704,1000,main
RA-ALTA/pl-en-beginner,ellipsis_n_bar_2,0.801,801,1000,main
RA-ALTA/pl-en-intermediate,distractor_agreement_relative_clause,0.494,494,1000,main
RA-ALTA/pl-en-advanced,drop_argument,0.733,733,1000,main
RA-ALTA/tr-en-beginner,distractor_agreement_relative_clause,0.307,307,1000,main
RA-ALTA/tr-en-advanced,ellipsis_n_bar_1,0.674,674,1000,main
RA-ALTA/tr-en-phase1-final,ellipsis_n_bar_1,0.167,167,1000,main
RA-ALTA/pl-en-fluent,ellipsis_n_bar_1,0.747,747,1000,main
RA-ALTA/tr-en-intermediate,ellipsis_n_bar_1,0.657,657,1000,main
RA-ALTA/pl-en-beginner,existential_there_object_raising,0.762,762,1000,main
RA-ALTA/pl-en-intermediate,drop_argument,0.728,728,1000,main
RA-ALTA/pl-en-advanced,ellipsis_n_bar_1,0.697,697,1000,main
RA-ALTA/tr-en-beginner,drop_argument,0.707,707,1000,main
RA-ALTA/tr-en-advanced,ellipsis_n_bar_2,0.816,816,1000,main
RA-ALTA/tr-en-phase1-final,ellipsis_n_bar_2,0.488,488,1000,main
RA-ALTA/pl-en-fluent,ellipsis_n_bar_2,0.831,831,1000,main
RA-ALTA/tr-en-intermediate,ellipsis_n_bar_2,0.799,799,1000,main
RA-ALTA/pl-en-beginner,existential_there_quantifiers_1,0.972,972,1000,main
RA-ALTA/pl-en-intermediate,ellipsis_n_bar_1,0.705,705,1000,main
RA-ALTA/pl-en-advanced,ellipsis_n_bar_2,0.829,829,1000,main
RA-ALTA/tr-en-beginner,ellipsis_n_bar_1,0.604,604,1000,main
RA-ALTA/tr-en-advanced,existential_there_object_raising,0.779,779,1000,main
RA-ALTA/tr-en-phase1-final,existential_there_object_raising,0.724,724,1000,main
RA-ALTA/pl-en-fluent,existential_there_object_raising,0.812,812,1000,main
RA-ALTA/tr-en-intermediate,existential_there_object_raising,0.805,805,1000,main
RA-ALTA/pl-en-beginner,existential_there_quantifiers_2,0.141,141,1000,main
RA-ALTA/pl-en-intermediate,ellipsis_n_bar_2,0.798,798,1000,main
RA-ALTA/pl-en-advanced,existential_there_object_raising,0.793,793,1000,main
RA-ALTA/tr-en-beginner,ellipsis_n_bar_2,0.789,789,1000,main
RA-ALTA/tr-en-advanced,existential_there_quantifiers_1,0.972,972,1000,main
RA-ALTA/tr-en-phase1-final,existential_there_quantifiers_1,0.788,788,1000,main
RA-ALTA/pl-en-fluent,existential_there_quantifiers_1,0.969,969,1000,main
RA-ALTA/tr-en-intermediate,existential_there_quantifiers_1,0.964,964,1000,main
RA-ALTA/pl-en-beginner,existential_there_subject_raising,0.818,818,1000,main
RA-ALTA/pl-en-intermediate,existential_there_object_raising,0.785,785,1000,main
RA-ALTA/pl-en-advanced,existential_there_quantifiers_1,0.972,972,1000,main
RA-ALTA/tr-en-beginner,existential_there_object_raising,0.752,752,1000,main
RA-ALTA/tr-en-advanced,existential_there_quantifiers_2,0.122,122,1000,main
RA-ALTA/pl-en-fluent,existential_there_quantifiers_2,0.244,244,1000,main
RA-ALTA/tr-en-phase1-final,existential_there_quantifiers_2,0.136,136,1000,main
RA-ALTA/tr-en-intermediate,existential_there_quantifiers_2,0.144,144,1000,main
RA-ALTA/pl-en-beginner,expletive_it_object_raising,0.695,695,1000,main
RA-ALTA/pl-en-intermediate,existential_there_quantifiers_1,0.977,977,1000,main
RA-ALTA/pl-en-advanced,existential_there_quantifiers_2,0.238,238,1000,main
RA-ALTA/tr-en-beginner,existential_there_quantifiers_1,0.967,967,1000,main
RA-ALTA/tr-en-advanced,existential_there_subject_raising,0.876,876,1000,main
RA-ALTA/pl-en-fluent,existential_there_subject_raising,0.802,802,1000,main
RA-ALTA/tr-en-phase1-final,existential_there_subject_raising,0.528,528,1000,main
RA-ALTA/tr-en-intermediate,existential_there_subject_raising,0.854,854,1000,main
RA-ALTA/pl-en-beginner,inchoative,0.542,542,1000,main
RA-ALTA/pl-en-intermediate,existential_there_quantifiers_2,0.214,214,1000,main
RA-ALTA/pl-en-advanced,existential_there_subject_raising,0.792,792,1000,main
RA-ALTA/tr-en-beginner,existential_there_quantifiers_2,0.222,222,1000,main
RA-ALTA/tr-en-advanced,expletive_it_object_raising,0.764,764,1000,main
RA-ALTA/pl-en-fluent,expletive_it_object_raising,0.741,741,1000,main
RA-ALTA/tr-en-phase1-final,expletive_it_object_raising,0.639,639,1000,main
RA-ALTA/tr-en-intermediate,expletive_it_object_raising,0.75,750,1000,main
RA-ALTA/pl-en-beginner,intransitive,0.654,654,1000,main
RA-ALTA/pl-en-intermediate,existential_there_subject_raising,0.803,803,1000,main
RA-ALTA/pl-en-advanced,expletive_it_object_raising,0.741,741,1000,main
RA-ALTA/tr-en-beginner,existential_there_subject_raising,0.847,847,1000,main
RA-ALTA/tr-en-advanced,inchoative,0.498,498,1000,main
RA-ALTA/pl-en-fluent,inchoative,0.527,527,1000,main
RA-ALTA/tr-en-phase1-final,inchoative,0.433,433,1000,main
RA-ALTA/tr-en-intermediate,inchoative,0.51,510,1000,main
RA-ALTA/pl-en-beginner,irregular_past_participle_adjectives,0.931,931,1000,main
RA-ALTA/pl-en-intermediate,expletive_it_object_raising,0.721,721,1000,main
RA-ALTA/pl-en-advanced,inchoative,0.539,539,1000,main
RA-ALTA/tr-en-beginner,expletive_it_object_raising,0.722,722,1000,main
RA-ALTA/tr-en-advanced,intransitive,0.669,669,1000,main
RA-ALTA/pl-en-fluent,intransitive,0.655,655,1000,main
RA-ALTA/tr-en-intermediate,intransitive,0.618,618,1000,main
RA-ALTA/tr-en-phase1-final,intransitive,0.614,614,1000,main
RA-ALTA/pl-en-beginner,irregular_past_participle_verbs,0.831,831,1000,main
RA-ALTA/pl-en-intermediate,inchoative,0.551,551,1000,main
RA-ALTA/pl-en-advanced,intransitive,0.645,645,1000,main
RA-ALTA/tr-en-beginner,inchoative,0.496,496,1000,main
RA-ALTA/tr-en-advanced,irregular_past_participle_adjectives,0.945,945,1000,main
RA-ALTA/pl-en-fluent,irregular_past_participle_adjectives,0.933,933,1000,main
RA-ALTA/tr-en-intermediate,irregular_past_participle_adjectives,0.989,989,1000,main
RA-ALTA/tr-en-phase1-final,irregular_past_participle_adjectives,0.829,829,1000,main
RA-ALTA/pl-en-beginner,irregular_plural_subject_verb_agreement_1,0.812,812,1000,main
RA-ALTA/pl-en-intermediate,intransitive,0.674,674,1000,main
RA-ALTA/tr-en-beginner,intransitive,0.588,588,1000,main
RA-ALTA/pl-en-advanced,irregular_past_participle_adjectives,0.959,959,1000,main
RA-ALTA/tr-en-advanced,irregular_past_participle_verbs,0.781,781,1000,main
RA-ALTA/tr-en-phase1-final,irregular_past_participle_verbs,0.521,521,1000,main
RA-ALTA/pl-en-fluent,irregular_past_participle_verbs,0.775,775,1000,main
RA-ALTA/tr-en-intermediate,irregular_past_participle_verbs,0.823,823,1000,main
RA-ALTA/pl-en-beginner,irregular_plural_subject_verb_agreement_2,0.864,864,1000,main
RA-ALTA/pl-en-intermediate,irregular_past_participle_adjectives,0.948,948,1000,main
RA-ALTA/tr-en-beginner,irregular_past_participle_adjectives,0.965,965,1000,main
RA-ALTA/pl-en-advanced,irregular_past_participle_verbs,0.841,841,1000,main
RA-ALTA/tr-en-advanced,irregular_plural_subject_verb_agreement_1,0.809,809,1000,main
RA-ALTA/tr-en-intermediate,irregular_plural_subject_verb_agreement_1,0.798,798,1000,main
RA-ALTA/pl-en-fluent,irregular_plural_subject_verb_agreement_1,0.795,795,1000,main
RA-ALTA/tr-en-phase1-final,irregular_plural_subject_verb_agreement_1,0.528,528,1000,main
RA-ALTA/pl-en-beginner,left_branch_island_echo_question,0.456,456,1000,main
RA-ALTA/tr-en-beginner,irregular_past_participle_verbs,0.786,786,1000,main
RA-ALTA/pl-en-intermediate,irregular_past_participle_verbs,0.865,865,1000,main
RA-ALTA/pl-en-advanced,irregular_plural_subject_verb_agreement_1,0.813,813,1000,main
RA-ALTA/tr-en-advanced,irregular_plural_subject_verb_agreement_2,0.74,740,1000,main
RA-ALTA/tr-en-intermediate,irregular_plural_subject_verb_agreement_2,0.744,744,1000,main
RA-ALTA/pl-en-fluent,irregular_plural_subject_verb_agreement_2,0.806,806,1000,main
RA-ALTA/tr-en-phase1-final,irregular_plural_subject_verb_agreement_2,0.529,529,1000,main
RA-ALTA/pl-en-beginner,left_branch_island_simple_question,0.295,295,1000,main
RA-ALTA/tr-en-beginner,irregular_plural_subject_verb_agreement_1,0.799,799,1000,main
RA-ALTA/tr-en-advanced,left_branch_island_echo_question,0.413,413,1000,main
RA-ALTA/pl-en-advanced,irregular_plural_subject_verb_agreement_2,0.83,830,1000,main
RA-ALTA/pl-en-intermediate,irregular_plural_subject_verb_agreement_1,0.847,847,1000,main
RA-ALTA/tr-en-intermediate,left_branch_island_echo_question,0.437,437,1000,main
RA-ALTA/pl-en-fluent,left_branch_island_echo_question,0.506,506,1000,main
RA-ALTA/tr-en-phase1-final,left_branch_island_echo_question,0.549,549,1000,main
RA-ALTA/pl-en-beginner,matrix_question_npi_licensor_present,0.026,26,1000,main
RA-ALTA/tr-en-beginner,irregular_plural_subject_verb_agreement_2,0.762,762,1000,main
RA-ALTA/tr-en-advanced,left_branch_island_simple_question,0.374,374,1000,main
RA-ALTA/pl-en-advanced,left_branch_island_echo_question,0.487,487,1000,main
RA-ALTA/pl-en-intermediate,irregular_plural_subject_verb_agreement_2,0.88,880,1000,main
RA-ALTA/tr-en-intermediate,left_branch_island_simple_question,0.368,368,1000,main
RA-ALTA/pl-en-fluent,left_branch_island_simple_question,0.384,384,1000,main
RA-ALTA/tr-en-phase1-final,left_branch_island_simple_question,0.162,162,1000,main
RA-ALTA/pl-en-beginner,npi_present_1,0.422,422,1000,main
RA-ALTA/tr-en-beginner,left_branch_island_echo_question,0.473,473,1000,main
RA-ALTA/tr-en-advanced,matrix_question_npi_licensor_present,0.121,121,1000,main
RA-ALTA/pl-en-advanced,left_branch_island_simple_question,0.485,485,1000,main
RA-ALTA/pl-en-intermediate,left_branch_island_echo_question,0.479,479,1000,main
RA-ALTA/tr-en-intermediate,matrix_question_npi_licensor_present,0.117,117,1000,main
RA-ALTA/pl-en-fluent,matrix_question_npi_licensor_present,0.058,58,1000,main
RA-ALTA/tr-en-phase1-final,matrix_question_npi_licensor_present,0.085,85,1000,main
RA-ALTA/pl-en-beginner,npi_present_2,0.509,509,1000,main
RA-ALTA/tr-en-beginner,left_branch_island_simple_question,0.322,322,1000,main
RA-ALTA/tr-en-advanced,npi_present_1,0.524,524,1000,main
RA-ALTA/pl-en-advanced,matrix_question_npi_licensor_present,0.081,81,1000,main
RA-ALTA/pl-en-intermediate,left_branch_island_simple_question,0.426,426,1000,main
RA-ALTA/tr-en-intermediate,npi_present_1,0.515,515,1000,main
RA-ALTA/pl-en-fluent,npi_present_1,0.453,453,1000,main
RA-ALTA/tr-en-phase1-final,npi_present_1,0.576,576,1000,main
RA-ALTA/pl-en-beginner,only_npi_licensor_present,0.253,253,1000,main
RA-ALTA/tr-en-beginner,matrix_question_npi_licensor_present,0.109,109,1000,main
RA-ALTA/tr-en-advanced,npi_present_2,0.573,573,1000,main
RA-ALTA/pl-en-advanced,npi_present_1,0.409,409,1000,main
RA-ALTA/pl-en-intermediate,matrix_question_npi_licensor_present,0.068,68,1000,main
RA-ALTA/tr-en-intermediate,npi_present_2,0.554,554,1000,main
RA-ALTA/pl-en-fluent,npi_present_2,0.517,517,1000,main
RA-ALTA/tr-en-phase1-final,npi_present_2,0.607,607,1000,main
RA-ALTA/tr-en-beginner,npi_present_1,0.517,517,1000,main
RA-ALTA/tr-en-advanced,only_npi_licensor_present,0.158,158,1000,main
RA-ALTA/pl-en-beginner,only_npi_scope,0.19,190,1000,main
RA-ALTA/pl-en-advanced,npi_present_2,0.509,509,1000,main
RA-ALTA/pl-en-intermediate,npi_present_1,0.469,469,1000,main
RA-ALTA/tr-en-intermediate,only_npi_licensor_present,0.32,320,1000,main
RA-ALTA/pl-en-fluent,only_npi_licensor_present,0.699,699,1000,main
RA-ALTA/tr-en-phase1-final,only_npi_licensor_present,0.511,511,1000,main
RA-ALTA/tr-en-beginner,npi_present_2,0.572,572,1000,main
RA-ALTA/tr-en-advanced,only_npi_scope,0.187,187,1000,main
RA-ALTA/pl-en-beginner,passive_1,0.864,864,1000,main
RA-ALTA/pl-en-advanced,only_npi_licensor_present,0.254,254,1000,main
RA-ALTA/pl-en-intermediate,npi_present_2,0.552,552,1000,main
RA-ALTA/tr-en-intermediate,only_npi_scope,0.335,335,1000,main
RA-ALTA/pl-en-fluent,only_npi_scope,0.163,163,1000,main
RA-ALTA/tr-en-phase1-final,only_npi_scope,0.392,392,1000,main
RA-ALTA/tr-en-beginner,only_npi_licensor_present,0.312,312,1000,main
RA-ALTA/tr-en-advanced,passive_1,0.868,868,1000,main
RA-ALTA/pl-en-beginner,passive_2,0.869,869,1000,main
RA-ALTA/pl-en-advanced,only_npi_scope,0.133,133,1000,main
RA-ALTA/tr-en-intermediate,passive_1,0.855,855,1000,main
RA-ALTA/pl-en-intermediate,only_npi_licensor_present,0.493,493,1000,main
RA-ALTA/pl-en-fluent,passive_1,0.879,879,1000,main
RA-ALTA/tr-en-phase1-final,passive_1,0.728,728,1000,main
RA-ALTA/tr-en-beginner,only_npi_scope,0.261,261,1000,main
RA-ALTA/tr-en-advanced,passive_2,0.847,847,1000,main
RA-ALTA/pl-en-beginner,principle_A_c_command,0.653,653,1000,main
RA-ALTA/pl-en-advanced,passive_1,0.877,877,1000,main
RA-ALTA/tr-en-intermediate,passive_2,0.842,842,1000,main
RA-ALTA/pl-en-intermediate,only_npi_scope,0.202,202,1000,main
RA-ALTA/pl-en-fluent,passive_2,0.887,887,1000,main
RA-ALTA/tr-en-phase1-final,passive_2,0.699,699,1000,main
RA-ALTA/tr-en-advanced,principle_A_c_command,0.511,511,1000,main
RA-ALTA/tr-en-beginner,passive_1,0.863,863,1000,main
RA-ALTA/pl-en-beginner,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/pl-en-advanced,passive_2,0.888,888,1000,main
RA-ALTA/tr-en-intermediate,principle_A_c_command,0.594,594,1000,main
RA-ALTA/pl-en-intermediate,passive_1,0.854,854,1000,main
RA-ALTA/pl-en-fluent,principle_A_c_command,0.591,591,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_c_command,0.715,715,1000,main
RA-ALTA/tr-en-beginner,passive_2,0.849,849,1000,main
RA-ALTA/tr-en-advanced,principle_A_case_1,0.998,998,1000,main
